Date,Employee Name,Employee ID,Tenure,Compensation (Monthly),Date of Birth,Gender,Education,HR Event,Region,Business Function,Job Family,Job Level,Notes,Distinct ID
12/19/2016,Janet Russell,4QJGMSRoFVATeL7Djajfpi,0,5586.48,8/8/1977,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
5/7/2015,Stacey Rickey,Lzeq5cNnQq3oCEQ6Jh9rkW,0,7177.77,3/25/1982,Female,BS,HIRED,US,Development,Quality,Entry,,FALSE
5/6/2016,Stacey Rickey,Lzeq5cNnQq3oCEQ6Jh9rkW,12,7678.37,3/25/1982,Female,BS,UPDATED,US,Development,Quality,Entry,,TRUE
12/14/2013,Francis Sims,4R4FZKmxXv2cPkCFiw34YJ,0,7792.89,8/3/1966,Male,BS,HIRED,US,Operations,Support,Senior,,FALSE
3/31/2015,Francis Sims,4R4FZKmxXv2cPkCFiw34YJ,15,7792.89,8/3/1966,Male,BS,UPDATED,US,Operations,Engineering,Manager,,TRUE
12/14/2014,Francis Sims,4R4FZKmxXv2cPkCFiw34YJ,12,8169.32,8/3/1966,Male,BS,UPDATED,US,Operations,Engineering,Manager,,FALSE
7/15/2016,Tommy Berkey,jZeDizBDn2FMmkSsUQ2oLe,0,6719.62,8/12/1976,Male,BS,HIRED,US,Operations,Engineering,Entry,,FALSE
12/3/2015,Aurelio Huffman,LhNHaZNzfofKSFBmYawWoj,0,6446.39,11/23/1979,Male,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
1/23/2015,David Dever,RGJxcdSU9LawpnGiW9BCPe,0,6855.63,1/21/1974,Male,BS,HIRED,US,Operations,Support,Entry,,FALSE
1/23/2016,David Dever,RGJxcdSU9LawpnGiW9BCPe,12,7017.83,1/21/1974,Male,BS,UPDATED,US,Operations,Support,Entry,,TRUE
10/14/2016,Karen Pasche,T8RbPzspVuEiyBo8NWvXD5,0,5471.03,11/12/1980,Female,BS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
2/14/2014,Geraldine Mandy,2DHyxuc9aLw8AcbW8TAPTC,0,5538.85,10/21/1988,Female,MS,HIRED,US,Sales,Acct Mgmt,Senior,,FALSE
2/14/2016,Geraldine Mandy,2DHyxuc9aLw8AcbW8TAPTC,24,5843.46,10/21/1988,Female,MS,UPDATED,US,Sales,Acct Mgmt,Senior,,TRUE
